datatype	polymer	mean	std
hballp1scscstoch	polyala_constrained	0.0	0.0
hballp1scscstoch	polyalanine_default	0.0	0.0
hballp1scscstoch	polyasparagine	3.27	0.56
hballp1scscstoch	polygly_constrained	0.0	0.0
hballp1scscstoch	polyglycine	0.0	0.0
hballp1scscstoch	polyisoleucine	0.0	0.0
hballp1scscstoch	polythreonine	0.92	0.39
hballp1scscstoch	polyvaline	0.0	0.0
hballp1scscstoch	polyisoleucine_turing	0.0	0.0
hballp1scscstoch	polyisoleucine_78	0.0	0.0
hballp1scscstoch	polyisoleucine_server191	0.0	0.0
hballp1mcmcstab	polyala-gly	4.4	0.99
hballp1mcmcstab	polyala_constrained	5.01	1.14
hballp1mcmcstab	polyalanine_default	4.59	0.14
hballp1mcmcstab	polyasparagine	2.89	0.53
hballp1mcmcstab	polygly_constrained	3.45	0.33
hballp1mcmcstab	polyglycine	3.58	0.48
hballp1mcmcstab	polyisoleucine	5.02	1.22
hballp1mcmcstab	polythreonine	2.2	1.57
hballp1mcmcstab	polyvaline	5.0	1.24
hballp1mcmcstab	polyisoleucine_turing	3.8	0.0
hballp1mcmcstab	polyisoleucine_78	4.23	0.0
hballp1mcmcstab	polyisoleucine_server191	6.41	0.0
hballp1mcscstab	polyala-gly	0.0	0.0
hballp1mcscstab	polyala_constrained	0.0	0.0
hballp1mcscstab	polyalanine_default	0.0	0.0
hballp1mcscstab	polyasparagine	0.99	0.58
hballp1mcscstab	polygly_constrained	0.0	0.0
hballp1mcscstab	polyglycine	0.0	0.0
hballp1mcscstab	polyisoleucine	0.0	0.0
hballp1mcscstab	polythreonine	2.83	0.79
hballp1mcscstab	polyvaline	0.0	0.0
hballp1mcscstab	polyisoleucine_turing	0.0	0.0
hballp1mcscstab	polyisoleucine_78	0.0	0.0
hballp1mcscstab	polyisoleucine_server191	0.0	0.0
hballp1scscstab	polyala-gly	0.0	0.0
hballp1scscstab	polyala_constrained	0.0	0.0
hballp1scscstab	polyalanine_default	0.0	0.0
hballp1scscstab	polyasparagine	1.03	0.32
hballp1scscstab	polygly_constrained	0.0	0.0
hballp1scscstab	polyglycine	0.0	0.0
hballp1scscstab	polyisoleucine	0.0	0.0
hballp1scscstab	polythreonine	2.08	0.45
hballp1scscstab	polyvaline	0.0	0.0
hballp1scscstab	polyisoleucine_turing	0.0	0.0
hballp1scscstab	polyisoleucine_78	0.0	0.0
hballp1scscstab	polyisoleucine_server191	0.0	0.0
